feature	ASV2	ASV3	ASV7	ASV15	ASV17	ASV31	ASV50
22010-0065	0	0.512922019719151	0	0.13639079772931	0.242530624439797	0.103152076486406	0.00500448162533612
22010-0066	0	0.643370827955006	0	0.120413055504333	0.0973630831643002	0.13885303337636	0
22010-0067	0.57074955675431	0.29918141008714	0	0	0.0619789505450979	0.0677505752763213	0.000339507337130786
22010-0068	0.326020184291356	0.454322071083809	0.0841597191750768	0.0193067134708205	0.0895129442738043	0.024659938569548	0.00201842913558578
22010-0069	0	0.801352415358251	0.0279283034597749	0.00199157056180816	0.120466861192163	0.0449261266268352	0.00333472280116715
22010-0070	0.00107267363904532	0.831590238669885	0	0.0195762939125771	0.0927862697774202	0.0147492625368732	0.0402252614641995
22010-0071	0.00299614780995862	0.497740999667095	0	0.0933086032244257	0.369715128168545	0.0265373091739192	0.0097018119560565
22010-0072	0.0035059331175836	0.444759079467817	0.0917835311039195	0.0945253505933118	0.176330456670263	0.0840974469615246	0.104998202085581
22010-0073	0	0.495302287581699	0.00388071895424837	0.0414624183006536	0.0565767973856209	0.244893790849673	0.157883986928105
22010-0074	0	0.58632793907663	0.217872441694431	0.0719300333174679	0.0310566396953832	0.0799619228938601	0.0128510233222275
22010-0075	0.190058065429826	0.462045036113865	0.00750601897748194	0.0277581079167257	0.131709389604872	0.0570032573289902	0.12392012462824
