feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV2	SexuallyActive	no	-0.98197250318698	1.28936828126658	75	26	0.448791028588947	0.999564500386066
ASV3	SexuallyActive	yes	-0.00792926620447556	1.2607392536562	75	27	0.994999229044922	0.999564500386066
ASV3	SexuallyActive	no	-0.415397841446311	1.29359465703096	75	27	0.749050481314253	0.999564500386066
ASV4	SexuallyActive	no	0.694199994678138	1.12081193403349	75	25	0.537626082514454	0.999564500386066
ASV5	SexuallyActive	no	0.876142833830172	1.09673010250182	75	24	0.426994244775063	0.999564500386066
ASV6	SexuallyActive	no	1.09526907402453	1.21052743253066	75	26	0.368596054843481	0.999564500386066
ASV7	SexuallyActive	yes	0.0885580389705635	1.05316789475521	75	26	0.933220388962364	0.999564500386066
ASV7	SexuallyActive	no	-0.753174267382176	1.08061389986942	75	26	0.48805504342639	0.999564500386066
ASV8	SexuallyActive	no	0.691598817439231	1.06273598337919	75	24	0.51726514314486	0.999564500386066
ASV9	SexuallyActive	no	0.879954366005587	1.31360827251191	75	24	0.505079732725235	0.999564500386066
ASV10	SexuallyActive	no	0.601863348003562	1.13820683803325	75	24	0.598583005440037	0.999564500386066
ASV11	SexuallyActive	yes	-0.146341559725228	1.51545328813599	75	26	0.923339193631968	0.999564500386066
ASV11	SexuallyActive	no	-1.05917351981638	1.55494664803014	75	26	0.49795279310631	0.999564500386066
ASV12	SexuallyActive	no	0.75571472463201	1.00069765988374	75	24	0.452599619330395	0.999564500386066
ASV13	SexuallyActive	no	0.936449632774767	1.11598502104474	75	25	0.404177290799851	0.999564500386066
ASV14	SexuallyActive	yes	0.266832044921357	2.28400312640938	75	28	0.907322825028152	0.999564500386066
ASV14	SexuallyActive	no	0.117270328383242	2.34352522331385	75	28	0.96022896244393	0.999564500386066
ASV15	SexuallyActive	no	0.623328847615155	1.05385216883287	75	25	0.556053713291377	0.999564500386066
ASV16	SexuallyActive	yes	0.24053409430423	1.85136688418633	75	28	0.896990086592486	0.999564500386066
ASV16	SexuallyActive	no	0.371929469128079	1.89961429585232	75	28	0.845324422795132	0.999564500386066
ASV17	SexuallyActive	no	0.739590308244351	1.09449158128387	75	24	0.501371252927549	0.999564500386066
ASV18	SexuallyActive	no	0.886596160167912	1.12076251767866	75	25	0.431504158948075	0.999564500386066
ASV19	SexuallyActive	no	0.574785438689645	1.10586865722248	75	24	0.60482573980291	0.999564500386066
ASV20	SexuallyActive	yes	-0.0734279729170919	1.09731536918709	75	26	0.946834033478246	0.999564500386066
ASV20	SexuallyActive	no	-0.823329664136202	1.12591187633908	75	26	0.466996129806532	0.999564500386066
ASV22	SexuallyActive	yes	0.154923417946908	1.82753912026565	75	25	0.932678246102728	0.999564500386066
ASV22	SexuallyActive	no	0.249220250880721	1.87516557022774	75	25	0.894638686163619	0.999564500386066
ASV23	SexuallyActive	yes	-0.142523983255527	1.67488016164476	75	25	0.93242201790835	0.999564500386066
ASV23	SexuallyActive	no	-0.0438453819085208	1.71852825394905	75	25	0.979716095573882	0.999564500386066
ASV24	SexuallyActive	no	0.674837761130489	1.04172166416923	75	24	0.519168254001263	0.999564500386066
ASV25	SexuallyActive	no	0.465879355993525	0.963136576986669	75	23	0.630059197451158	0.999564500386066
ASV26	SexuallyActive	yes	0.221630121394877	1.03269976112189	75	26	0.830676251127353	0.999564500386066
ASV26	SexuallyActive	no	-0.481295933497006	1.05961235793228	75	26	0.651037655949187	0.999564500386066
ASV27	SexuallyActive	yes	0.127787784749179	1.79993186671606	75	28	0.943597851515729	0.999564500386066
ASV27	SexuallyActive	no	0.911711841741812	1.8468388598604	75	28	0.623048361782276	0.999564500386066
ASV28	SexuallyActive	yes	-0.000930534414412487	1.69893508892582	75	25	0.999564500386066	0.999564500386066
ASV28	SexuallyActive	no	-0.350586270658596	1.74321006290821	75	25	0.841175468351667	0.999564500386066
ASV29	SexuallyActive	yes	-0.0375353816019551	1.9398609540851	75	27	0.984615800576002	0.999564500386066
ASV29	SexuallyActive	no	0.452123202018386	1.99041455900586	75	27	0.82095063568262	0.999564500386066
ASV30	SexuallyActive	no	0.80797678880757	0.989191670327573	75	25	0.416734291880767	0.999564500386066
ASV31	SexuallyActive	no	0.592636515439852	1.18703838746835	75	23	0.619120900460447	0.999564500386066
ASV33	SexuallyActive	no	0.862961262043462	1.13554943209313	75	24	0.449765495695231	0.999564500386066
ASV34	SexuallyActive	yes	-0.181703494129647	1.82468578042521	75	24	0.920953960349805	0.999564500386066
ASV34	SexuallyActive	no	-0.356641234041816	1.87223787113247	75	24	0.849461828874598	0.999564500386066
ASV35	SexuallyActive	no	1.10907467943544	1.69359524424542	75	23	0.514641981390759	0.999564500386066
ASV36	SexuallyActive	yes	-0.127570913371901	1.96716391172704	75	25	0.948473016672324	0.999564500386066
ASV36	SexuallyActive	no	0.0975877782906999	2.01842904338423	75	25	0.961572461414975	0.999564500386066
ASV37	SexuallyActive	no	0.570125145864922	1.10874433821422	75	23	0.608681328163792	0.999564500386066
ASV38	SexuallyActive	yes	-0.0823199697472228	1.78445478105173	75	24	0.963332977692438	0.999564500386066
ASV38	SexuallyActive	no	-0.341850325655459	1.83095843473385	75	24	0.852416494337005	0.999564500386066
ASV39	SexuallyActive	yes	0.194756085428851	1.93073874177857	75	24	0.919933011803363	0.999564500386066
ASV39	SexuallyActive	no	-0.00933632663955939	1.98105461795079	75	24	0.996252772149243	0.999564500386066
