feature	ASV1	ASV2	ASV4	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV21	ASV24	ASV38	ASV60	ASV94
22010-0011	-11.2901340735643	-7.5881792134047	-5.38654535223505	-2.86259384708943	-6.91010730829206	-0.63797744652285	-10.7174622303497	-4.32944494500453	-11.7174622303497	-3.00493522990984	-10.3553510964248	-11.0785320696399	-7.29119747564757	-10.1324997296285	-10.636903429133
22010-0012	-5.22360098122486	-4.2929490279156	-1.95201997109818	-1.30426434114343	-4.79431132701881	-10.7056323873614	-7.55598343374939	-2.51477231632388	-7.63690342913296	-7.55598343374939	-6.54292728092394	-7.69348695749933	-6.09893840794897	-10.337343147274	-9.63690342913296
22010-0013	-5.51096191927738	-4.61049759282829	-2.151065974191	-1.61049759282829	-5.51096191927738	-4.06030051026781	-3.55987151975833	-3.33038967363556	-5.09592441999854	-10.2050601105446	-5.4178525148859	-4.13245029602365	-6.83289001416474	-11.337343147274	-10.636903429133
22010-0014	-5.22849982762777	-5.20478375865396	-3.44525736168697	-2.84417519560254	-4.49472603795128	-4.34464142223692	-13.4411286218047	-3.83352795140303	-2.10812588920349	-2.13402111078613	-6.59906269776601	-3.78876650039628	-6.79760837714809	-11.337343147274	-10.636903429133
22010-0015	-11.2901340735643	-4.56985560833095	-10.7736102139197	-3.51096191927738	-5.1548181090521	-10.7056323873614	-13.4411286218047	-6.1548181090521	-0.607923649164467	-10.2050601105446	-5.56985560833095	-2.72855335435001	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0016	-11.2901340735643	-9.61838550225861	-10.7736102139197	-12.4411286218047	-10.7739633684336	-3.59233175075825	-8.49118502730135	-12.4411286218047	-9.0761475280225	-7.75421943313514	-10.3553510964248	-11.0785320696399	-11.3456068530682	-0.393152944340822	-2.7723667798454
22010-0017	-11.2901340735643	-1.64253725470719	-2.24251876167184	-12.4411286218047	-9.51598136722257	-3.83952051201591	-4.31490766720959	-8.41644569367165	-1.77595972578207	-10.2050601105446	-7.41644569367165	-4.52243638935987	-8.5684487871167	-11.337343147274	-10.636903429133
22010-0018	-11.2901340735643	-9.61838550225861	-10.7736102139197	-12.4411286218047	-9.77396336843356	-5.94107335426882	-13.4411286218047	-12.4411286218047	-7.07352365029247	-10.2050601105446	-4.85510013115896	-11.0785320696399	-0.619778159168261	-1.78669935636102	-10.636903429133
22010-0019	-10.2901340735643	-0.638006145826007	-10.7736102139197	-9.61206216845164	-10.7739633684336	-10.7056323873614	-7.40260880282269	-9.91162245031055	-2.03416133156467	-10.2050601105446	-3.55542445333844	-5.78551368116072	-9.91162245031055	-11.337343147274	-10.636903429133
22010-0020	-11.2901340735643	-9.61838550225861	-9.77361021391972	-12.4411286218047	-0.432488553799052	-10.7056323873614	-8.41104013453502	-10.5809651359773	-9.77361021391972	-10.2050601105446	-10.3553510964248	-8.41104013453502	-2.40479198686984	-9.99600263525617	-4.04958367546102
22010-0021	-0.0019470447521683	-9.61838550225861	-10.7736102139197	-11.4411286218047	-10.7739633684336	-10.7056323873614	-12.4411286218047	-11.4411286218047	-11.1192005269173	-10.2050601105446	-10.3553510964248	-11.0785320696399	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0022	-6.89994571013312	-0.738707051806216	-3.94023841608116	-3.35213620782943	-4.67668025092381	-7.97523383743736	-9.3902713367162	-4.44719840480104	-6.98817289314486	-10.2050601105446	-5.62777065044286	-11.0785320696399	-3.89841824038653	-4.68192642048977	-7.71649956903719
22010-0023	-2.3029865312339	-6.52698820543201	-10.7736102139197	-5.74562849190735	-7.00342624937499	-10.7056323873614	-0.723664286390516	-6.7196332833744	-3.84048767824879	-9.20506011054465	-7.20506011054465	-3.97239935375437	-8.3570632039897	-11.337343147274	-10.636903429133
22010-0024	-4.69393765344377	-4.80971396800189	-10.7736102139197	-12.4411286218047	-10.7739633684336	-0.760496547646822	-13.4411286218047	-4.98743734000461	-4.29242129381854	-3.00069343670688	-10.3553510964248	-2.9666944887108	-11.3456068530682	-11.337343147274	-10.636903429133
22010-0025	-11.2901340735643	-0.0144257348968243	-10.7736102139197	-12.4411286218047	-10.7739633684336	-9.70563238736142	-13.4411286218047	-12.4411286218047	-7.21624754662249	-10.2050601105446	-10.3553510964248	-8.94664048686521	-11.3456068530682	-11.337343147274	-10.636903429133
