feature	ASV2	ASV3	ASV4	ASV6	ASV7	ASV9	ASV10	ASV11	ASV12	ASV14	ASV15	ASV17	ASV18	ASV21	ASV23	ASV24	ASV25	ASV27	ASV28	ASV29	ASV31	ASV32	ASV34	ASV35	ASV36	ASV39	ASV40	ASV45	ASV46	ASV47	ASV48	ASV49	ASV54	ASV57	ASV62	ASV64	ASV66	ASV70	ASV73	ASV74	ASV76	ASV83	ASV91	ASV92	ASV97	ASV102	ASV104	ASV116	ASV144
22010-0064	-11.0674343607565	-1.3616002003291	-10.5381889320524	-11.1596010763809	-10.1089750033109	-11.4422955886025	-6.36826393061011	-12.2140588709505	-5.50844158865837	-11.9669559984385	-6.99386841582861	-4.72227199649139	-5.90398291231141	-11.5381889320524	-6.12315143277358	-5.01462697599541	-5.56856258109594	-10.292832864218	-8.64502790355116	-9.80122333788621	-4.90398291231141	-12.4821777111874	-7.6312983364439	-10.0214137930081	-5.79223455465896	-4.16025542743631	-3.5010996133172	-8.07875731341512	-7.87522391932999	-13.4422955886025	-8.36826393061011	-9.80348537559595	-5.56856258109594	-4.10634314508702	-7.01462697599541	-4.88953175601387	-8.87522391932999	-5.72736981927024	-7.39523097821038	-14.4821777111874	-9.61943397253796	-10.1478832816214	-11.8494051009478	-4.90883231197281	-10.1231514327736	-3.90156431150877	-7.83774921391133	-8.25817341039019	-10.0624430167747
22010-0065	-11.0674343607565	-2.08073314458404	-11.5381889320524	-11.1596010763809	-10.1089750033109	-3.64637436166121	-5.43645129228697	-11.2140588709505	-6.58678556537141	-11.9669559984385	-5.21728277182481	-2.7913933573025	-10.0420501788902	-5.91288933622996	-5.16343279788056	-4.89729248117894	-6.34898845103664	-10.292832864218	-8.64502790355116	-4.62053435672595	-5.7267930441165	-5.89213077606316	-5.9233817100476	-9.02141379300813	-7.85148879156582	-4.5784702971594	-11.2140588709505	-9.07875731341512	-7.93395095175779	-3.9405962653998	-5.59934902683532	-9.80348537559595	-10.8514887915658	-4.73601157414588	-5.60356127812223	-4.75228711385871	-9.93395095175779	-5.72736981927024	-7.66386178839005	-7.34898845103664	-5.79259510251225	-8.81196042737918	-11.8494051009478	-7.33491326582491	-8.52956069667846	-5.67268563877705	-11.436451292287	-8.25817341039019	-10.0624430167747
22010-0066	-11.0674343607565	-2.95770540253013	-11.5381889320524	-11.1596010763809	-10.1089750033109	-4.28972231504108	-3.23793301268746	-12.2140588709505	-8.62011198867663	-11.9669559984385	-5.36772482704235	-4.38564673503961	-10.0420501788902	-5.78871159265238	-5.6414856394692	-7.06371864015225	-7.70757482992697	-10.292832864218	-8.64502790355116	-10.8012233378862	-3.31097004874511	-3.36327892201116	-2.77683749236409	-10.0214137930081	-6.97965437536377	-10.1203674937152	-3.93608536042637	-9.07875731341512	-6.6414856394692	-7.24814321128968	-7.53764982848466	-9.80348537559595	-11.8514887915658	-7.42217261106472	-6.10766198773985	-5.65229239442578	-12.3819934977174	-5.72736981927024	-10.3856467350396	-5.41295408103535	-7.38564673503961	-8.12261232920582	-11.8494051009478	-11.2723705871602	-5.2157217335973	-8.80068423431845	-12.6450279035512	-4.41295408103535	-10.0624430167747
22010-0067	-1.8989861134314	-1.43455862962967	-11.5381889320524	-11.1596010763809	-10.1089750033109	-11.4422955886025	-8.08101405775383	-12.2140588709505	-10.1048607997082	-11.9669559984385	-10.7536100416344	-3.68419875123548	-10.0420501788902	-12.5381889320524	-5.58548664061462	-6.36069970413779	-6.74496485462182	-10.292832864218	-8.64502790355116	-6.04596711065463	-4.86200427581204	-7.3252508681335	-7.11693363200877	-10.0214137930081	-9.15377040018915	-4.74730879509011	-10.0117513953167	-9.07875731341512	-7.41183855312959	-10.8418263938744	-7.63671196396979	-9.80348537559595	-9.92428855406638	-6.11693363200877	-7.90322693853855	-8.41045135150399	-12.3819934977174	-5.72736981927024	-8.55231977667942	-3.58863548516962	-8.61943397253796	-6.50395675511802	-8.80229802968777	-11.2723705871602	-11.3880172853451	-13.2561103821636	-9.25686389315325	-8.25817341039019	-10.0624430167747
22010-0068	-1.88866947124073	-3.72467125806701	-4.83714598732543	-11.1596010763809	-10.1089750033109	-5.96567935757081	-3.91573182729342	-12.2140588709505	-6.43415611581111	-4.84617226311472	-10.7536100416344	-6.7583543843233	-8.32077431639337	-10.5771140696532	-4.23726406676853	-6.57711406965316	-7.30409557524674	-10.292832864218	-8.64502790355116	-5.01232945086963	-7.49911155765188	-4.00894681147498	-7.96567935757081	-10.0214137930081	-5.8890580759679	-7.6177560541505	-5.36333477862142	-9.07875731341512	-7.93968414903787	-8.53758570546652	-6.6809498806377	-4.8311596922597	-8.93968414903786	-10.5806623632875	-6.73581181567222	-7.23924443089677	-10.1620765703743	-5.72736981927024	-4.74422405548841	-8.28760745245817	-5.48494422572529	-5.07815408682922	-5.37199963974854	-4.97554960159487	-6.15458203382739	-7.79284276070859	-8.74703907109547	-5.70264495173702	-10.0624430167747
22010-0069	-11.0674343607565	-2.7323880503703	-11.5381889320524	-11.1596010763809	-5.23826213120547	-11.4422955886025	-2.11452676278322	-6.0271930968959	-9.52008001271868	-11.9669559984385	-9.04801156840345	-8.77014384296053	-10.0420501788902	-12.5381889320524	-4.60237108544636	-7.17965557421392	-7.29436723309062	-1.87088179221818	-8.64502790355116	-10.8012233378862	-7.12554816887447	-12.4821777111874	-5.71272509066107	-10.0214137930081	-6.16593729296614	-4.93900094648475	-3.86140782581451	-9.07875731341512	-8.56738572749703	-6.66049513188851	-9.8893138223844	-9.80348537559595	-11.8514887915658	-7.01484470446825	-7.66692140104795	-8.41045135150399	-9.30435132166324	-5.72736981927024	-5.70609199832862	-14.4821777111874	-5.98242322677588	-6.06064839408138	-11.8494051009478	-11.2723705871602	-5.24545763260967	-13.2561103821636	-12.6450279035512	-8.25817341039019	-10.0624430167747
22010-0070	-10.0674343607565	-10.3180585484257	-11.5381889320524	-11.1596010763809	-10.1089750033109	-11.4422955886025	-4.7728136118649	-12.2140588709505	-5.95890990397835	-11.9669559984385	-5.8776098018765	-8.77014384296053	-0.729255110856411	-12.5381889320524	-5.31254685859305	-6.45272451664131	-4.80064782006162	-10.292832864218	-8.64502790355116	-10.8012233378862	-7.11323805036965	-5.2992500359796	-5.18479131139468	-10.0214137930081	-4.78203214189427	-10.1203674937152	-5.160543765148	-9.07875731341512	-7.97997151950618	-9.26007943869892	-5.31254685859305	-9.80348537559595	-11.8514887915658	-10.5806623632875	-9.9344280406268	-8.41045135150399	-9.48247186003537	-5.72736981927024	-6.78203214189427	-9.06743436075652	-9.61943397253796	-10.1478832816214	-4.3809338335733	-11.2723705871602	-11.3880172853451	-13.2561103821636	-6.02304024139807	-5.45272451664131	-10.0624430167747
22010-0071	-11.0674343607565	-2.05055804762186	-11.5381889320524	-11.1596010763809	-10.1089750033109	-3.24979379504759	-4.26726280866321	-12.2140588709505	-4.6010839495663	-11.9669559984385	-8.47748051605355	-1.86739655178421	-3.83249324426018	-4.91628618126535	-13.4422955886025	-6.5800502496941	-2.94106186729043	-10.292832864218	-8.64502790355116	-10.8012233378862	-10.0439229429472	-12.4821777111874	-7.54999301583792	-10.0214137930081	-7.34255093596744	-8.47748051605355	-12.2140588709505	-8.02062284108008	-8.44946613988396	-13.4422955886025	-13.3880172853451	-9.80348537559595	-11.8514887915658	-8.44946613988396	-7.16122117125288	-8.41045135150399	-8.21916852046216	-5.72736981927024	-12.1254134704833	-14.4821777111874	-9.61943397253796	-10.1478832816214	-11.8494051009478	-11.2723705871602	-11.3880172853451	-13.2561103821636	-8.19570954763817	-8.25817341039019	-9.06244301677471
22010-0072	-11.0674343607565	-2.14413579193929	-11.5381889320524	-11.1596010763809	-3.56701189043738	-3.52454590658341	-4.03334848716904	-6.9703220040471	-6.22292903843056	-11.9669559984385	-10.7536100416344	-3.89212279219675	-5.75220740657404	-7.13651428661309	-4.12815081367846	-5.76187914139488	-4.9462301975362	-5.3903515326697	-8.64502790355116	-10.8012233378862	-3.96193692692788	-4.61587276685879	-6.59123548736441	-10.0214137930081	-6.57409435454302	-10.1203674937152	-8.05498440111649	-9.07875731341512	-6.29131601341081	-5.85197260761583	-7.23186216320057	-9.80348537559595	-11.8514887915658	-10.5806623632875	-9.9344280406268	-3.93707019825072	-7.71728899037081	-5.72736981927024	-7.54041122828673	-14.4821777111874	-4.90993406831321	-7.60858273092831	-11.8494051009478	-11.2723705871602	-8.39285403987287	-13.2561103821636	-6.37295448243517	-8.25817341039019	-10.0624430167747
22010-0073	-11.0674343607565	-2.33483820377475	-11.5381889320524	-11.1596010763809	-7.88457221618492	-4.46716381244333	-6.84709751076626	-12.2140588709505	-5.21363649235391	-11.9669559984385	-10.7536100416344	-7.3251448075709	-10.0420501788902	-12.5381889320524	-2.68128861779618	-4.34459717023708	-5.74018230684975	-10.292832864218	-8.64502790355116	-10.8012233378862	-10.0439229429472	-12.4821777111874	-4.71464721474261	-10.0214137930081	-5.6089377735715	-5.67306811099121	-7.37761222746504	-9.07875731341512	-2.72735826649216	-3.6326538425453	-6.29960971546377	-8.67306811099121	-11.8514887915658	-6.84709751076626	-4.41140054092132	-8.41045135150399	-12.3819934977174	-5.72736981927024	-4.54004269236043	-14.4821777111874	-5.07721729412732	-10.1478832816214	-5.53258688744138	-11.2723705871602	-11.3880172853451	-13.2561103821636	-7.43206001148742	-8.25817341039019	-10.0624430167747
22010-0074	-11.0674343607565	-1.24714957056095	-2.26790813072775	-8.48964319795391	-10.1089750033109	-6.48964319795391	-5.60052730407337	-12.2140588709505	-7.85642552862553	-11.9669559984385	-4.92444395205418	-8.77014384296053	-4.96224598476657	-12.5381889320524	-7.64492142343182	-5.29057185085208	-4.78017249545038	-4.96480168967032	-8.64502790355116	-6.08754475438256	-5.90959618764687	-7.08198522904066	-8.32299332854446	-10.0214137930081	-8.54976419039148	-5.54593232880045	-6.61249994573944	-9.07875731341512	-6.31645048267768	-6.34946553990565	-13.3880172853451	-9.80348537559595	-6.20348623408837	-5.16477382775442	-8.9344280406268	-8.41045135150399	-10.1043530420691	-5.72736981927024	-9.64492142343182	-7.02753744501829	-9.61943397253796	-10.1478832816214	-11.8494051009478	-6.15598581048444	-11.3880172853451	-13.2561103821636	-12.6450279035512	-8.25817341039019	-10.0624430167747
22010-0075	-2.42553999607425	-4.4515105749405	-6.75425725662425	-11.1596010763809	-10.1089750033109	-6.14232770830282	-3.22478986849479	-12.2140588709505	-6.37365325440928	-11.9669559984385	-6.39471486993711	-8.77014384296053	-4.09416042584231	-5.41608852072967	-3.67321353626819	-7.39471486993711	-6.16929475590309	-10.292832864218	-8.64502790355116	-3.93528325129981	-4.63042866977139	-11.4821777111874	-5.75425725662425	-10.0214137930081	-3.3311611722952	-10.1203674937152	-5.40536211413662	-6.63668766024307	-6.72729020902398	-13.4422955886025	-5.60566076462245	-9.80348537559595	-11.8514887915658	-10.5806623632875	-9.9344280406268	-8.41045135150399	-6.32230637440906	-5.72736981927024	-12.1254134704833	-13.4821777111874	-9.61943397253796	-6.38414562822692	-11.8494051009478	-5.23425019774386	-4.41071534863082	-13.2561103821636	-12.6450279035512	-4.38414562822692	-10.0624430167747
