feature	ASV2	ASV3	ASV4	ASV6	ASV7	ASV9	ASV10	ASV11	ASV12	ASV14	ASV15	ASV17	ASV18	ASV21	ASV23	ASV24	ASV25	ASV27	ASV28	ASV29	ASV32	ASV33	ASV35	ASV36	ASV37	ASV39	ASV40	ASV44	ASV46	ASV47	ASV48	ASV49	ASV54	ASV58	ASV62	ASV64	ASV65	ASV70	ASV73	ASV75	ASV78	ASV83	ASV91	ASV92	ASV98	ASV102	ASV104	ASV116	ASV144
22010-0061	0.00193457615195216	0.127506155469574	0	0	0	0	0.173935983116426	0	0.00158283503341541	0	0	0.0736897643334506	0	0	0.062258177981006	0.0128385508265916	0.00615546957439325	0	0	0.0522335561027084	0.00281392894829406	0.129440731621527	0.0437917692578262	0	0.0279634189236722	0.0114315863524446	0.0508265916285614	0	0.00879352796341892	0.0121350685895181	0.0283151600422089	0	0.0754484699261344	0	0.0163559620119592	0	0.000879352796341892	0	0	0.0277875483644038	0.0175870559268378	0.0247977488568414	0	0	0	0.00668308125219838	0.00281392894829406	0	0
22010-0062	0	0.0171592848800647	0	0	0	0.000718713502829935	0.103135387656096	0	0.000359356751414967	0	0.573443536070434	0.033060821130177	0	0	0.000179678375707484	0.00188662294492858	0.00359356751414967	0	0	0.011140059293864	0.00269517563561225	0	0.000269517563561226	0	0.00098823106639116	0.00179678375707484	0.0066480999011769	0.0946006648099901	0.00242565807205103	0.000179678375707484	0	0.125056149492409	0.000628874314976193	0.00197646213278232	0	0.0123079687359626	0	0	0.00287485401131974	0	0	0	0	0.000808552690683676	0	0.00206630132063606	0	0	0
22010-0063	0	0.0164906303236797	0	0	0	0.0017717206132879	0.0111073253833049	0	0.0965587734241908	0	0.00115843270868825	0	0.0332538330494038	0.00293015332197615	0.129880749574106	0.0657580919931857	0.0132197614991482	0	0	0.0842248722316865	0.020442930153322	0	0.0618739352640545	0	0.0735945485519591	0.0385689948892675	0	0.0482453151618399	0.0329812606473595	0.00797274275979557	0.0440885860306644	0	0	0	0.0684838160136286	0	0.036320272572402	0	0	0	0.00906303236797274	0.0318228279386712	0.0365247018739353	0.00197614991482112	0	0.00020442930153322	0.0277342419080068	0	0.00374787052810903
22010-0064	0	0.389150414705223	0.000672494956287828	0	0	0	0.0121049092131809	0	0.021968168572069	0	0.00784577449002466	0.0378838825375476	0.0167002914144811	0.000336247478143914	0.0143465590674737	0.0309347679892401	0.0210715086303519	0	0	0.00112082492714638	0.0334005828289621	0	0.00504371217215871	0	0.0180452813270567	0.0559291638646044	0.0883210042591347	0.00369872225958305	0.00425913472315624	0	0.00302622730329523	0	0.0210715086303519	0.0580587312261825	0.00773369199731002	0.033736830307106	0.00212956736157812	0	0.00594037211387581	0	0	0	0	0.0332885003362475	0.000896659941717104	0.0669132481506389	0.00437121721587088	0	0
22010-0065	0	0.236394251007276	0	0	0	0.0798604846954116	0.0230921883456612	0.000420951350051115	0.0104035119369776	0	0.0268807504961212	0.144446448974683	0	0.016597510373444	0.0279030609176739	0.0335558361897889	0.0122677250586325	0	0	0.0406518732335077	0.01888267484515	0.0168380540020446	0.0164772385591437	0.0019243490288051	0.00432978531481147	0.0418545913765109	0.000420951350051115	0	0.00408924168621084	0.0651271874436226	0.0206266161525047	0	0.000541223164351434	0.0375248060616994	0.0205664802453545	0.0371038547116483	0.00102231042155271	0	0.00493114438631307	0.00613386252931625	0.0180407721450478	0.0022250285645559	0	0.00619399843646641	0.00270611582175717	0.0196043057309519	0.000360815442900956	0	0
22010-0066	0	0.128718792046644	0	0	0	0.0511287187920466	0.105994917027956	0	0.00254148602182688	0	0.0242188667962326	0.0478397368814471	0	0.0180894005082972	0.020032889819106	0.00747495888772612	0.00478397368814472	0	0	0	0.100762445806548	0.0971744655404395	0.145911197488414	0	0.00792345642098968	0	0.0653311406787263	0	0.010016444909553	0.00657796382119898	0.0053819703991628	0	0	0.00583046793242637	0.0145014202421887	0.0198833906413515	0	0	0.000747495888772612	0.02347137090746	0.00597996711018089	0.00358798026610854	0	0	0.026909851995814	0.00224248766631784	0	0.04694274181492	0
22010-0067	0.268131735076886	0.369960043588812	0	0	0	0	0.00369294103402349	0	0.000908100254268071	0	0	0.0777939217822981	0	0	0.0208257658312144	0.0121685434071922	0.00932316261048553	0	0	0.0151350042378012	0.0343867296282843	0.00623562174597409	0.00720426201719337	0	0.00175566049158494	0.0372321104249909	0.000968640271219276	0	0.00587238164426686	0.000544860152560843	0.00502482140695	0	0.00102918028817048	0.0144085240343867	0.00417726116963313	0	0	0	0.00266376074585301	0.0831214432740041	0.0025426807119506	0.0110182830851193	0.00223998062719458	0	0	0	0.00163458045768253	0	0
22010-0068	0.270056004073023	0.0756418648628991	0.0349843624990908	0	0	0.0160011637209979	0.0662593643174049	0	0.0115644774165394	0.0347661648119863	0	0.00923703542075787	0.00312750018183141	0.00065459306131355	0.0530220379663976	0.0104734889810168	0.00632773292603098	0	0	0.0309840715688414	0.00552767473998109	0.0621136082624191	0.00400029093024947	0	0.016873954469416	0.00509127936577206	0.0242926758309695	0	0.00407302349261764	0.00269110480762237	0.00974616335733508	0.0351298276238272	0.00203651174630882	0	0.00938250054549422	0.00661866317550367	0.000872790748418067	0	0.0373118044948723	0.00320023274419958	0.0223288966470289	0.0296021528838461	0.0241472107062332	0.0317841297548913	0.0140373845370572	0.00450941886682668	0.00232744199578151	0.0192013964651975	0
22010-0069	0	0.150476692588199	0	0	0.0264926848556742	0	0.230921312771847	0.0153332454637318	0.00136197882342604	0	0.00188919643249418	0	0	0	0.0411669083080708	0.00689776371864154	0.00637054610957339	0.273406265102588	0	0	0.00716137252317561	0	0.0190677035279645	0	0.0139273318395501	0.0325996221607135	0.0688018979833926	0	0.00263608804534071	0.00988533017002768	0.00105443521813629	0	0	0.00773252493299943	0.004920697684636	0	0.00158165282720443	0	0.0191555731294759	0	0.0158165282720443	0.0149817670576864	0	0	0.0263608804534071	0	0	0	0
22010-0070	0.000931966449207829	0	0	0	0	0	0.0365796831314073	0	0.016076421248835	0	0.0170083876980429	0	0.603215284249767	0	0.0251630941286114	0.0114165890027959	0.0358807082945014	0	0	0	0.00722273998136067	0.0253960857409133	0.0274930102516309	0	0.0363466915191053	0	0.0279589934762349	0	0.00396085740913327	0.0016309412861137	0.0251630941286114	0	0	0	0	0	0.00139794967381174	0	0.00908667287977633	0.00186393289841566	0	0	0.0479962721342032	0	0	0	0.0153774464119292	0.0228331780055918	0
22010-0071	0	0.24139069204533	0	0	0	0.105127076686104	0.0519309054901529	0	0.0412036527670811	0	0.00280558917372648	0.274067554186379	0.0701947408955881	0.0331169545604577	0	0.0104521949609418	0.130212344592364	0	0	0	0	0	0.00533612058532292	0	0.00616129387171306	0.00280558917372648	0	0.00385080866982066	0.00286060072615249	0	0	0	0	0.00286060072615249	0.0069864671581032	0	0.00335570469798658	0	0	0	0	0	0	0	0	0	0.00341071625041259	0	0.00187039278248432
22010-0072	0	0.226230321061113	0	0	0.0843766786496425	0.0868972356514193	0.0610718565348539	0.0079748770711954	0.0133878765340275	0	0	0.0673525887360026	0.0185529523573406	0.0071071443328788	0.0571877195157225	0.0184289905375811	0.0324366761704062	0.0238419900004132	0	0	0.0641709020288418	0.0407834387008801	0.0103714722532127	0	0.0104954340729722	0	0.00376017519937193	0	0.0127680674352299	0.0173133341597455	0.00665261766042725	0	0	0	0	0.0652865584066774	0.00475186975744804	0	0.00537167885624561	0	0.0332630883021363	0.00512375521672658	0	0	0.00297508367422834	0	0.0120656171232594	0	0
22010-0073	0	0.198218262806236	0	0	0.00423162583518931	0.0452115812917595	0.00868596881959911	0	0.0269487750556793	0	0	0.00623608017817372	0	0	0.155902004454343	0.0492204899777283	0.0187082405345212	0	0	0	0	0	0.0380846325167038	0	0.0204899777282851	0.0195991091314031	0.00601336302895323	0	0.151002227171492	0.0806236080178174	0.0126948775055679	0.00244988864142539	0	0.00868596881959911	0.0469933184855234	0	0	0	0.0429844097995546	0	0.0296213808463252	0	0.0216035634743875	0	0	0	0.00579064587973274	0	0
22010-0074	0	0.421279736558224	0.207630727303696	0.00278203599613922	0	0.0111281439845569	0.0206097768693579	0	0.00431499460625674	0	0.0329302219951172	0	0.0320785783228297	0	0.00499630954408675	0.0255493101686254	0.0363935729290865	0.0320218020780106	0	0.0147050474081644	0.0166354397320161	0.0073809118264918	0.00312269346505422	0	0.00266848350650088	0.0214046442968262	0.0102197240674502	0	0.0125475501050361	0.0122636688809402	0	0	0.0135695225117811	0.0278771362062113	0.00204394481349004	0	0.000908419917106683	0	0.00124907738602169	0.00766479305058763	0	0	0	0.0140237324703344	0	0	0	0	0
22010-0075	0.186139998252207	0.0457047976929127	0.00926330507733986	0	0	0.0141571266276326	0.106964956742113	0	0.01205977453465	0	0.0118849951935681	0	0.0585510792624312	0.0234204317049725	0.078388534475225	0.00594249759678406	0.0138949576160098	0	0	0.0653674735646246	0.0403740277899152	0.000349558682163768	0.0185266101546797	0	0.0993620554050511	0	0.0235952110460544	0.0100498121122083	0.00943808441842174	0	0.0205365725771214	0	0	0	0	0	0.0124967228873547	0	0	8.7389670540942e-05	0	0.0119723848641091	0	0.0265664598444464	0.0470156427510268	0	0	0.0478895394564362	0
