feature	ASV1	ASV3	ASV4	ASV6
22010-0028	-0.0395538226230527	-6.76949419870102	-5.85027685341707	-10.8427431807317
22010-0029	-0.357052059923667	-7.33576251903002	-2.23072704833174	-13.6486384532343
22010-0030	-0.631172582562878	-13.2678595753601	-1.49675888586833	-13.6486384532343
22010-0031	-0.144721426535904	-6.07024619628347	-3.64621991377738	-10.4917099647217
22010-0032	-0.0324023144510606	-7.96301646582586	-5.80651198014587	-11.547978966547
22010-0033	-0.00646285373489886	-9.5832171154139	-10.8056095367503	-8.5832171154139
22010-0034	-0.228899676128552	-8.82705014885757	-2.81876897377376	-8.49001516158
22010-0035	-0.0163647839811147	-8.38687427797014	-6.91412128083501	-13.6486384532343
22010-0036	-0.00029256667708775	-12.2678595753601	-12.4403501192006	-13.6486384532343
22010-0037	-0.0186059120814383	-8.79028583218286	-6.59590778701601	-12.1687974554366
22010-0038	-0.0159839831248444	-11.478713451792	-6.57182285618349	-12.6486384532343
22010-0039	-0.123833622130078	-10.9853082972559	-9.40034579653469	-3.63879456409022
22010-0040	-0.0152546495627099	-9.08556730157299	-6.84852810427214	-13.6486384532343
22010-0041	-0.0136566378603247	-7.93223254292109	-7.96742197138339	-9.55238447210454
22010-0042	-0.00661637791739446	-10.9576824861651	-7.93976057816786	-13.6486384532343
22010-0043	-1.03519052056216	-7.45422189314787	-6.74545319081231	-1.00860624420906
22010-0044	-0.00436244265639006	-13.2678595753601	-8.37159516184937	-13.6486384532343
22010-0045	-0.00508264076904708	-9.67507492038544	-8.76818432477693	-13.6486384532343
22010-0046	-0.00961143059457725	-10.1980766467512	-7.56580843125172	-10.9350422409174
22010-0047	-4.38594555357268	-1.98044310901961	-0.519421463284509	-9.81964689711656
22010-0048	-3.52877575813193	-4.99037358594631	-0.181316368657708	-13.6486384532343
22010-0049	-0.653122203575873	-1.99189403957608	-3.18611042918325	-8.4715126480455
22010-0050	-0.0185492772502931	-6.63591135666579	-8.52225457487023	-13.6486384532343
22010-0051	-1.94693875624859	-2.48459554219139	-0.83146153882865	-13.6486384532343
22010-0052	-1.56614614216336	-4.1380060904587	-0.723819487719354	-13.6486384532343
22010-0053	-2.63197487549222	-4.750688650727	-0.400088165956975	-4.51556538337691
22010-0054	-3.21221218209073	-1.42425414474169	-0.944841908820235	-13.6486384532343
22010-0056	-5.78004757606187	-2.19766361944249	-3.08119410881273	-0.631171561569597
22010-0057	-8.21997517133075	-5.43425026524469	-6.03015061245073	-0.0615758651860433
22010-0058	-8.93307587885699	-0.161448859178384	-6.61114778396962	-3.41737604057294
22010-0059	-3.36886731784592	-2.6364528159109	-0.431008909546758	-10.6205864104519
22010-0060	-4.94715446582225	-2.86771999832784	-0.273928738231947	-8.15151296432843
22010-0061	-8.55528631122271	-0.00523918397194491	-10.01471792986	-13.6486384532343
22010-0063	-7.65664831174735	-0.0168554184680373	-12.4403501192006	-7.23038355704525
22010-0064	-10.6339034093485	-0.0224135381141402	-9.68240943054412	-6.13808891432031
22010-0065	-10.6339034093485	-0.340174180998484	-12.4403501192006	-2.2511673792911
22010-0066	-10.6339034093485	-0.247513956026137	-12.4403501192006	-2.66517265667408
22010-0067	-0.608043086742947	-1.53988038596893	-12.4403501192006	-13.6486384532343
22010-0068	-1.43877282699275	-0.960018719557779	-3.39253231740058	-5.51655960889405
22010-0069	-10.6339034093485	-0.0528842753510764	-4.89552127677626	-8.70527071397425
22010-0070	-9.63390340934852	-0.0353855987358966	-12.4403501192006	-5.4440788504685
22010-0071	-7.63132143638131	-0.255178816266511	-12.4403501192006	-2.67049203366199
22010-0072	-7.49984588708321	-0.512764114010579	-2.78948095506765	-2.74701497121367
22010-0073	-10.6339034093485	-0.126373447533546	-7.12221496605181	-3.70480656231022
22010-0074	-10.6339034093485	-0.579437830241751	-2.00766191037526	-3.60647945692348
22010-0075	-1.854640820413	-0.573047590268573	-6.51688932204998	-4.63009993249797
