feature	ASV1	ASV54	ASV66	ASV87
22010-0040	-0.0122263023332594	-9.41925796559704	-7.16291821233725	-13.419367708794
22010-0041	-0.006267930584377	-8.28463134251963	-12.2622416920333	-9.79159133123951
22010-0042	-0.008297732081796	-10.7679085539568	-7.59798355251453	-13.419367708794
22010-0043	-1.25246923787046	-7.81762325751143	-6.44923585153141	-0.825225598896292
22010-0044	-0.00508066276829494	-13.419367708794	-8.15207353581907	-13.419367708794
22010-0045	-0.00847473608170795	-9.50308035175293	-7.91811785103177	-11.5030803517529
22010-0046	-0.0110191612695681	-9.94500481572	-7.38428986124552	-10.6819704098862
22010-0047	-5.07012775685616	-2.04922535283221	-0.459458868347666	-9.52225457487023
22010-0048	-3.48569189779041	-5.06392225824665	-0.183056179646345	-13.419367708794
22010-0049	-0.652742029716163	-2.03582879963998	-3.09746180405778	-8.27537959625362
22010-0050	-0.019731914688259	-6.52911106360295	-8.50311585507	-13.419367708794
22010-0051	-2.17768144507675	-2.48895514749945	-0.734961453084589	-13.419367708794
22010-0052	-1.54228939322133	-4.00205300933815	-0.75086126136231	-13.419367708794
22010-0053	-2.67635069498051	-4.59955944125563	-0.413110908686427	-4.28450282307356
22010-0054	-3.07751933513932	-1.44093812676872	-0.962374421081647	-13.419367708794
22010-0056	-5.40449651027081	-1.93615016682576	-2.96507485236501	-0.768531106115549
22010-0057	-7.85447175048723	-5.43126031976269	-5.88763861442243	-0.0655013629810946
22010-0058	-9.05443473876084	-0.196648085256908	-6.45452189657372	-3.13110725334165
22010-0059	-3.26830759510697	-2.56005715895834	-0.461776207487609	-10.8209766926212
22010-0060	-5.09312735181967	-3.30293971290693	-0.208772089336768	-7.928316482074
22010-0061	-8.31700141380744	-0.00618210504986849	-9.77643303244473	-13.419367708794
22010-0063	-10.4413880293467	-0.0282624731201227	-6.97077697845936	-6.45140281936578
22010-0064	-10.4413880293467	-0.0242126644168447	-12.2622416920333	-5.90895011778681
22010-0065	-10.4413880293467	-0.373412325553949	-12.2622416920333	-2.13260623608183
22010-0066	-10.4413880293467	-0.292357975870523	-12.2622416920333	-2.44666978730701
22010-0067	-0.793561736314849	-1.24099089906933	-12.2622416920333	-13.419367708794
22010-0068	-1.32707139816332	-1.05867978216002	-3.36359727418844	-5.36889157385795
22010-0069	-10.4413880293467	-0.0626078321448004	-4.67335083866156	-8.25307669101657
22010-0070	-9.44138802934669	-0.0330582885792957	-12.2622416920333	-5.55874497998485
22010-0071	-7.21870737452859	-0.299844137253997	-12.2622416920333	-2.46636655447547
22010-0072	-7.60530028273179	-0.532627387855271	-2.72186865994726	-2.71793224538809
22010-0073	-10.4413880293467	-0.15718333255073	-6.72863660997174	-3.41432169919426
22010-0074	-10.4413880293467	-0.590805696206113	-1.93914061254594	-3.73204437830601
22010-0075	-1.58293024930624	-0.742535065484627	-6.03749611277172	-4.23014119071412
