feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0028	-4.08273165519706	-4.27728986833678	-4.29578621195417	-4.18820632475436	-4.52751649786996	-4.41878085832908	-4.63723686510636	-4.49866163519777	-4.67709285392047	-4.37551340442491	-4.77316882547551	-4.52387792080661	-4.76455569517081	-10.8349450230622	-4.8349450230622	-9.90565245842884	-4.93770459748741	-4.91369913447662	-5.08005752089874	-4.68926756786657	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.95230197370036	-4.84853408781016	-5.01221487511769	-9.06941027669923	-9.91027756663373	-7.66502002161989	-5.34309192673253	-5.00205500889746	-5.15124856875569	-10.672117829439	-5.37551340442491	-10.9477522720524	-5.47739301844412	-10.6711872047918	-11.1857603776216
22010-0029	-4.90689059560852	-4.90689059560852	-5.41136317846931	-5.55222571430916	-5.28303908149377	-5.48007592855332	-5.10970747860821	-5.44531051039264	-5.79323381381295	-5.55222571430916	-6.13718821503031	-5.66770293172909	-6.13718821503031	-4.51569983828404	-6.31406597711439	-4.46258850182448	-5.75016509192107	-5.88343162278453	-6.51569983828404	-5.93073733756289	-4.12338241550528	-4.41136317846931	-4.0432120668213	-5.93073733756289	-6.58970041972782	-5.88343162278453	-4.77153874271363	-4.90689059560852	-4.64780337429139	-6.08274043100794	-5.62817456754246	-6.8376279331714	-4.79323381381295	-6.25266543245025	-4.58970041972782	-6.44531051039264	-4.95498488380956	-4.64780337429139
22010-0030	-7.50928016808786	-7.80884044994677	-7.50928016808786	-7.04984854945056	-7.60238957247934	-7.9243176673667	-7.26135265464427	-7.60238957247934	-8.33935516664555	-7.50928016808786	-9.1873520732005	-7.33935516664555	-7.9243176673667	-3.4869123550594	-7.60238957247934	-3.39553800203867	-7.42181732683752	-7.9243176673667	-7.80884044994677	-7.80884044994677	-3.52059548131569	-3.4980529126646	-3.77457054786202	-7.60238957247934	-7.42181732683752	-7.9243176673667	-3.6575311266718	-3.97012135697983	-3.71486430173775	-7.80884044994677	-8.50928016808786	-8.33935516664555	-3.90194985433825	-10.5092801680879	-4.25189232539521	-8.33935516664555	-4.05806905625553	-4.29982680245891
22010-0031	-3.59434083303702	-4.43983088398139	-4.19190337053781	-4.48563457359452	-5.11790278909403	-4.41746307095294	-5.31054786703643	-4.65847117045673	-4.88524203230376	-4.39543676462294	-4.88524203230376	-4.26990588253908	-4.60694086981665	-4.60694086981665	-5.35236804273105	-9.90565245842884	-5.15442866511914	-5.0135661292793	-4.9803992653441	-4.91626892792438	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.94797778765172	-4.79597469420667	-4.9803992653441	-10.0694102766992	-9.91027756663373	-10.7362481668587	-5.26990588253908	-5.43983088398139	-5.04751346120263	-10.672117829439	-5.19190337053781	-10.9477522720524	-5.19190337053781	-10.6711872047918	-11.1857603776216
22010-0032	-4.14768192777048	-4.11701479152353	-4.30533158435667	-4.2897009326429	-4.43000550470408	-4.39948907818101	-4.56271942704932	-4.51832530769087	-4.78573815403523	-4.45419497027115	-4.51832530769087	-4.40621494136933	-4.83026931400561	-11.8349450230622	-4.90450794429752	-9.90565245842884	-4.93336280696971	-4.89975441432689	-4.74680249148829	-4.91886323727459	-10.4952400673549	-10.3883248634384	-9.90565245842884	-5.2110439887679	-4.95292507334823	-5.05492478685062	-10.0694102766992	-9.91027756663373	-10.7362481668587	-5.18189764310839	-5.37949760299355	-5.3021918768261	-10.672117829439	-5.13087364008392	-10.9477522720524	-4.96777283775554	-10.6711872047918	-11.1857603776216
22010-0033	-4.00960068971431	-4.26005702946864	-4.2040516197399	-4.3888704955418	-4.53032300453351	-4.74909511019126	-4.46650790693606	-4.73649507341162	-4.66710173799395	-4.32459728166335	-4.63947061901676	-4.57823298949489	-4.62778881396912	-11.8349450230622	-4.79190819373023	-9.90565245842884	-4.84501953018979	-5.02228938224527	-4.86316687690005	-4.8540646697928	-10.4952400673549	-10.3883248634384	-9.90565245842884	-4.88617685494655	-5.27212986176921	-5.1062516933896	-10.0694102766992	-9.91027756663373	-10.7362481668587	-4.98207228216887	-5.04800655235365	-5.01720050557247	-10.672117829439	-5.30896662994958	-10.9477522720524	-4.98703853506222	-10.6711872047918	-11.1857603776216
22010-0034	-3.91131761089194	-4.24996906337043	-4.08508467862865	-4.44353864954113	-4.5117101521827	-4.07932540933996	-4.53516912500669	-4.55901586696106	-4.80294144984715	-4.34350983120985	-4.86104440441072	-4.74708821511363	-4.72894086840337	-11.8349450230622	-5.35042924514964	-9.90565245842884	-4.86104440441072	-4.64998952700855	-5.01744596175329	-5.06218427651857	-10.4952400673549	-10.3883248634384	-9.90565245842884	-5.1682259139289	-4.74708821511363	-5.1083544579515	-10.0694102766992	-9.91027756663373	-10.7362481668587	-4.91131761089194	-5.43615911917553	-4.99558652778955	-10.672117829439	-5.06218427651857	-10.9477522720524	-5.5117101521827	-10.6711872047918	-11.1857603776216
22010-0035	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-3.40982311798952	-8.60238957247934	-3.57852394028253	-8.9436869515971	-7.05735809014234	-8.80884044994677	-8.80884044994677	-3.54585775136221	-3.70205385804994	-3.72016323860167	-8.60238957247934	-8.42181732683752	-8.9243176673667	-3.86040288273088	-3.3498520964498	-3.86375409223052	-8.80884044994677	-9.50928016808786	-9.33935516664555	-3.50603843324882	-11.5092801680879	-3.4621998223153	-9.33935516664555	-3.50603843324882	-3.75707855855974
22010-0036	-8.50928016808786	-8.80884044994677	-8.50928016808786	-8.04984854945056	-8.60238957247934	-8.9243176673667	-8.39803107397315	-8.60238957247934	-9.33935516664555	-8.50928016808786	-10.1873520732005	-8.33935516664555	-8.9243176673667	-3.41481539242891	-8.60238957247934	-3.37624773616942	-8.9436869515971	-8.9243176673667	-8.80884044994677	-8.80884044994677	-3.50272248157834	-3.50272248157834	-3.49518880889293	-8.60238957247934	-8.42181732683752	-8.9243176673667	-3.62894019778176	-3.55658935355707	-3.81805646424391	-8.80884044994677	-9.50928016808786	-9.33935516664555	-3.71820753587885	-11.5092801680879	-3.80868828170971	-9.33935516664555	-3.69644701714003	-3.58030542253088
22010-0037	-4.5074294763628	-4.49871225926169	-4.50219282799666	-4.50917925831276	-4.42254057877629	-4.56268458835302	-4.4762909645539	-4.55724387150551	-4.49177621205132	-4.76522723383045	-4.4341285530515	-4.68590478116904	-4.44748693590652	-9.24148347510911	-4.58281128820494	-8.67211782943897	-4.70382668916631	-4.83593022517365	-4.80121709088566	-4.9172303272755	-9.49524006735489	-9.38832486343838	-8.73624816685868	-5.08454411526127	-5.1595061729425	-5.03328845673908	-8.80336236271722	-8.91027756663373	-9.73624816685868	-5.02826163966424	-4.99600744065962	-5.20132634863712	-9.67211782943897	-5.14855587338196	-9.94775227205239	-5.2917979397598	-9.49524006735489	-9.06639676855101
