feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0017	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00647016534867	0	0.960721521469185	0	0	0	0	0.934579439252336	0.967257042023397	0.647016534867002	0	0	0	0.862688713156003	0.758120384288609	0.777726945951245	0	0	0	0.843082151493367	0	0.712371740409124	0	0.790797987059669	0.875759754264427
22010-0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0019	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43560410362388	0	2.36179791866558	0	0	0	0	2.23632740423648	2.07395379732822	2.42084286663222	0	0	0	2.13299874529486	2.15514060078235	2.03705070484907	0	0	0	2.39870101114473	0	2.09609565281571	0	2.07395379732822	2.3175142076906
22010-0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0021	5.22736500203004	5.49127080795778	5.21721477872513	5.24766544863987	4.65895249695493	4.98375964271214	3.86723507917174	5.29841656516443	3.95858708891596	4.27324401136825	3.55257815671945	4.14129110840438	3.36987413723102	0	3.13641900121803	0	3.23792123426715	3.04506699147381	3.04506699147381	2.61875761266748	0	0	0	3.26837190418189	3.95858708891596	3.0349167681689	0	0	0	2.76086073893626	2.99431587494925	2.29395046691027	0	2.51725537961835	0	2.37515225334957	0	0
22010-0022	0	0	0	0	0	0.806451612903226	0	0	0	0	0	0	0	2.82258064516129	0	2.68577188940092	0	0	0	0	2.13133640552995	2.26814516129032	2.21054147465438	0	0	0	2.09533410138249	2.11693548387097	2.14573732718894	0	0	0	2.55616359447005	0	2.09533410138249	0	2.21054147465438	2.20334101382488
22010-0023	0.544028340080972	0.354251012145749	0.392206477732793	0.455465587044534	0.227732793522267	0.215080971659919	0.215080971659919	0.341599190283401	0.164473684210526	0.303643724696356	0.189777327935223	0.215080971659919	0.177125506072875	0	0.177125506072875	0.316295546558704	0.240384615384615	0.328947368421053	0.341599190283401	0.0632591093117409	0	0	0	0.202429149797571	0.379554655870445	0.126518218623482	0	0	0	0.13917004048583	0.189777327935223	0.126518218623482	0	0.202429149797571	0	0.202429149797571	0	0
22010-0024	0.114519920438792	0.114519920438792	0.0904104635043096	0.126574648906033	0.0964378277379302	0.114519920438792	0.0180820927008619	0.0843830992706889	0.0843830992706889	0.156711470074137	0.0542462781025857	0.0421915496353445	0.0602736423362064	0.0964378277379302	0.0482189138689651	0.102465191971551	0.0301368211681032	0.0783557350370683	0.0964378277379302	0.0843830992706889	0.126574648906033	0.0723283708034477	0.0602736423362064	0.066301006569827	0.0421915496353445	0.0723283708034477	0.120547284672413	0.108492556205171	0.0723283708034477	0.0602736423362064	0.0482189138689651	0.0723283708034477	0.120547284672413	0.0904104635043096	0.0542462781025857	0.0783557350370683	0.0120547284672413	0.0783557350370683
22010-0025	0	0	0	0	0	0	0	0	0	0	0	0	0	5.08050089445438	0	4.74060822898032	0	0	0	0	4.03398926654741	4.88372093023256	4.83005366726297	0	0	0	4.01610017889088	3.52415026833632	4.04293381037567	0	0	0	2.99642218246869	0	3.07692307692308	0	3.43470483005367	2.88908765652952
22010-0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228551336146273	0	0.193389592123769	0	0	0	0	0.281293952180028	0.175808720112518	0.140646976090014	0	0	0	0.158227848101266	0.140646976090014	0.0527426160337553	0	0	0	0.0879043600562588	0	0.0879043600562588	0	0.193389592123769	0.105485232067511
22010-0028	5.29209621993127	4.62444771723122	4.56553755522828	4.91899852724595	3.8880706921944	4.19243986254295	3.6033382425135	3.966617574865	3.50515463917526	4.32007854688267	3.2793323514973	3.89788905252823	3.29896907216495	0.0490918016691213	3.14187530682376	0	2.92587137947963	2.97496318114875	2.65095729013255	3.47569955817379	0	0	0	2.89641629847815	3.11242022582229	2.77859597447226	0.166912125675012	0	0.441826215022091	2.20913107511046	2.79823269513991	2.52331860579283	0	2.16003927344134	0	2.01276386843397	0	0
22010-0029	1.1231817344872	1.1231817344872	0.791751058736881	0.718099797459031	0.86540232001473	0.754925428097956	0.975879211931504	0.773338243417419	0.607622905542257	0.718099797459031	0.478733198306021	0.662861351500645	0.478733198306021	1.47302522555699	0.423494752347634	1.52826367151537	0.62603572086172	0.570797274903333	0.368256306389247	0.55238445958387	1.93334560854355	1.58350211747376	2.04382250046032	0.55238445958387	0.349843491069785	0.570797274903333	1.23365862640398	1.1231817344872	1.34413551832075	0.497146013625483	0.681274166820107	0.294605045111398	1.21524581108451	0.441907567667096	1.39937396427914	0.386669121708709	1.08635610384828	1.34413551832075
22010-0030	0.210056452671656	0.17067086779572	0.210056452671656	0.288827622423526	0.196927924379677	0.157542339503742	0.249442037547591	0.196927924379677	0.118156754627806	0.210056452671656	0.0656426414598923	0.236313509255612	0.157542339503742	3.4134173559144	0.196927924379677	3.63660233687804	0.223184980963634	0.157542339503742	0.17067086779572	0.17067086779572	3.33464618616253	3.38716029933045	2.79637652619141	0.196927924379677	0.223184980963634	0.157542339503742	3.03269003544703	2.441906262308	2.91453328081922	0.17067086779572	0.105028226335828	0.118156754627806	2.5600630169358	0.0262570565839569	2.00866482867271	0.118156754627806	2.29749245109623	1.94302218721281
