feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39
22010-0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099290780141844	0	0.0947775628626692	0	0	0	0	0.0921985815602837	0.0954223081882656	0.0638297872340425	0	0	0	0.0851063829787234	0.0747904577691812	0.0767246937459703	0	0	0	0.0831721470019342	0	0.0702772404900065	0	0.0780141843971631	0.0863958736299162
22010-0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0910847364062931	0	0.0883245928788297	0	0	0	0	0.0836323488821419	0.0775600331217223	0.0905327077008004	0	0	0	0.0797681479436931	0.0805961910019321	0.0761799613579906	0	0	0	0.0897046646425614	0	0.0783880761799614	0	0.0775600331217223	0.0866685067623516
22010-0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22010-0021	0.0535732861749714	0.0562779569333195	0.0534692603765734	0.0537813377717674	0.0477478414646832	0.0510766670134193	0.039633829189639	0.0543014667637574	0.0405700613752211	0.0437948611255591	0.0364090294393009	0.0424425257463851	0.0345365650681369	0	0.0321439717049828	0	0.0331842296889629	0.0312077395194008	0.0312077395194008	0.0268386559866847	0	0	0	0.0334963070841569	0.0405700613752211	0.0311037137210028	0	0	0	0.0282950171642567	0.0306876105274108	0.0235098304379486	0	0.0257983980027047	0	0.0243420368251326	0	0
22010-0022	0	0	0	0	0	0.0284480568961138	0	0	0	0	0	0	0	0.0995681991363983	0	0.094742189484379	0	0	0	0	0.0751841503683007	0.08001016002032	0.0779781559563119	0	0	0	0.0739141478282957	0.0746761493522987	0.0756921513843028	0	0	0	0.0901701803403607	0	0.0739141478282957	0	0.0779781559563119	0.0777241554483109
22010-0023	0.0796296296296296	0.0518518518518519	0.0574074074074074	0.0666666666666667	0.0333333333333333	0.0314814814814815	0.0314814814814815	0.05	0.0240740740740741	0.0444444444444444	0.0277777777777778	0.0314814814814815	0.0259259259259259	0	0.0259259259259259	0.0462962962962963	0.0351851851851852	0.0481481481481481	0.05	0.00925925925925926	0	0	0	0.0296296296296296	0.0555555555555556	0.0185185185185185	0	0	0	0.0203703703703704	0.0277777777777778	0.0185185185185185	0	0.0296296296296296	0	0.0296296296296296	0	0
22010-0024	0.0375494071146245	0.0375494071146245	0.0296442687747035	0.041501976284585	0.0316205533596838	0.0375494071146245	0.00592885375494071	0.0276679841897233	0.0276679841897233	0.0513833992094862	0.0177865612648221	0.0138339920948617	0.0197628458498024	0.0316205533596838	0.0158102766798419	0.033596837944664	0.00988142292490118	0.0256916996047431	0.0316205533596838	0.0276679841897233	0.041501976284585	0.0237154150197628	0.0197628458498024	0.0217391304347826	0.0138339920948617	0.0237154150197628	0.0395256916996047	0.0355731225296443	0.0237154150197628	0.0197628458498024	0.0158102766798419	0.0237154150197628	0.0395256916996047	0.0296442687747035	0.0177865612648221	0.0256916996047431	0.00395256916996047	0.0256916996047431
22010-0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106847253574116	0	0.099699021820918	0	0	0	0	0.0848382242287434	0.102708803611738	0.101580135440181	0	0	0	0.0844620015048909	0.0741158765989466	0.0850263355906697	0	0	0	0.0630173062452972	0	0.0647103085026336	0	0.072234762979684	0.0607599699021821
22010-0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
